Marca;tempovida
A;153
A;150
A;147
A;149
A;148
A;147
A;150
A;153
A;152
A;155
A;151
A;157
A;156
A;147
A;153
A;150
A;153
A;152
A;144
A;152
B;141
B;138
B;139
B;139
B;137
B;135
B;137
B;140
B;141
B;143
B;140
B;142
B;141
B;137
B;142
B;144
B;141
B;140
B;138
B;135
C;150
C;144
C;151
C;147
C;154
C;151
C;151
C;151
C;146
C;151
C;148
C;146
C;147
C;147
C;152
C;152
C;153
C;151
C;155
C;148
C;151
C;151
C;148
C;146
C;151
D;157
D;158
D;155
D;155
D;157
D;161
D;158
D;154
D;161
D;156
D;156
D;153
D;147
D;154
D;156
D;153
D;153
D;152
D;151
D;154
D;155
D;150
D;157
D;158
D;156
D;158
D;159
D;152
D;159
D;152
