id;vulnerabilidade;situacao;escmae;escolaridade
1;0;1;1;8
2;0;1;1;8
3;0;1;1;9
4;0;1;1;8
5;0;1;1;11
6;0;1;1;15
7;0;1;1;6
8;0;1;1;8
9;0;1;1;2
10;0;1;1;13
11;0;1;2;4
12;0;1;2;0
13;0;1;2;9
14;0;1;2;8
15;0;1;2;10
16;0;1;2;6
17;0;1;2;15
18;0;1;3;8
19;0;2;3;15
20;0;2;3;10
21;0;2;3;12
22;0;2;3;10
23;0;2;3;-3
24;0;2;3;8
25;0;2;3;10
26;1;1;1;21
27;1;1;1;19
28;1;1;1;19
29;1;1;1;2
30;1;1;1;3
31;1;2;1;24
32;1;2;1;8
33;1;2;1;30
34;1;2;2;18
35;1;2;2;21
36;1;2;2;12
37;1;2;3;3
38;1;2;3;21
39;1;2;3;22
40;1;2;3;20
